t,value
1532093937,48
1532093940,48
1532093943,48
1532093946,48
1532093949,48
1532093952,48
1532093955,48
1532093958,47
1532093961,46
1532093964,47
1532093967,48
1532093970,48
1532093973,47
1532093976,48
1532093979,48
1532093982,48
1532093985,49
1532093988,49
1532093991,49
1532093994,49
1532093997,49
1532094000,49
1532094003,49
1532094006,48
1532094009,48
1532094012,47
1532094015,48
1532094018,48
1532094021,48
1532094024,49
1532094027,49
1532094030,47
1532094033,47
1532094036,47
1532094039,46
1532094042,46
1532094045,48
1532094048,48
1532094051,48
1532094054,48
1532094057,47
1532094060,48
1532094063,48
1532094066,48
1532094069,48
1532094072,47
1532094075,47
1532094078,47
1532094081,46
1532094084,47
1532094087,47
1532094090,48
1532094093,48
1532094096,48
1532094099,47
1532094102,48
1532094105,48
1532094108,48
1532094111,48
1532094114,51
1532094117,51
1532094120,50
1532094123,48
1532094126,49
1532094129,48
1532094132,47
1532094135,47
1532094138,46
1532094141,46
1532094144,47
1532094147,47
1532094150,47
1532094153,46
1532094156,46
1532094159,46
1532094162,46
1532094165,48
1532094168,48
1532094171,47
1532094174,47
1532094177,47
1532094180,47
1532094183,47
1532094186,47
1532094189,48
1532094192,48
1532094195,48
1532094198,47
1532094201,47
1532094204,49
1532094207,49
1532094210,49
1532094213,48
1532094216,47
1532094219,47
1532094222,47
1532094225,48
1532094228,48
1532094231,48
1532094234,48
1532094237,48
1532094240,48
1532094243,48
1532094246,47
1532094249,48
1532094252,48
1532094255,48
1532094258,48
1532094261,48
1532094264,48
1532094267,48
1532094270,48
1532094273,47
1532094276,48
1532094279,48
1532094282,48
1532094285,49
1532094288,49
1532094291,48
1532094294,50
1532094297,50
1532094300,50
1532094303,49
1532094306,49
1532094309,48
1532094312,49
1532094315,49
1532094318,48
1532094321,47
1532094324,47
1532094327,47
1532094330,47
1532094333,46
1532094336,46
1532094339,46
1532094342,47
1532094345,47
1532094348,47
1532094351,47
1532094354,47
1532094357,47
1532094360,47
1532094363,48
1532094366,48
1532094369,47
1532094372,47
1532094375,47
1532094378,48
1532094381,48
1532094384,49
1532094387,49
1532094390,49
1532094393,47
1532094396,47
1532094399,48
1532094402,48
1532094405,47
1532094408,47
1532094411,47
1532094414,46
1532094417,46
1532094420,46
1532094423,49
1532094426,50
1532094429,49
1532094432,49
1532094435,49
1532094438,49
1532094441,50
1532094444,50
1532094447,50
1532094450,48
1532094453,48
1532094456,48
1532094459,47
1532094462,46
1532094465,47
1532094468,47
1532094471,48
1532094474,48
1532094477,49
1532094480,49
1532094483,49
1532094486,52
1532094489,50
1532094492,49
1532094495,48
1532094498,50
1532094501,50
1532094504,49
1532094507,49
1532094510,49
1532094513,49
1532094516,49
1532094519,48
1532094522,47
1532094525,49
1532094528,49
1532094531,49
1532094534,48
1532094537,48
1532094540,48
1532094543,48
1532094546,48
1532094549,48
1532094552,47
1532094555,47
1532094558,46
1532094561,46
1532094564,48
1532094567,49
1532094570,49
1532094573,49
1532094576,49
1532094579,48
1532094582,48
1532094585,47
1532094588,47
1532094591,47
1532094594,46
1532094597,46
1532094600,46
1532094603,46
1532094606,47
1532094609,47
1532094612,46
1532094615,46
1532094618,46
1532094621,46
1532094624,48
1532094627,48
1532094630,47
1532094633,47
1532094636,47
1532094639,46
1532094642,46
1532094645,47
1532094648,47
1532094651,47
1532094654,46
1532094657,46
1532094660,46
1532094663,46
1532094666,47
1532094669,47
1532094672,47
1532094675,46
1532094678,46
1532094681,46
1532094684,47
1532094687,47
1532094690,47
1532094693,46
1532094696,47
1532094699,47
1532094702,47
1532094705,49
1532094708,49
1532094711,48
1532094714,48
1532094717,48
1532094720,47
1532094723,47
1532094726,48
1532094729,48
1532094732,47
1532094735,47
1532094738,47
1532094741,47
1532094744,48
1532094747,48
1532094750,48
1532094753,47
1532094756,46
1532094759,46
1532094762,46
1532094765,48
1532094768,48
1532094771,48
1532094774,48
1532094777,50
1532094780,49
1532094783,49
1532094786,48
1532094789,48
1532094792,47
1532094795,46
1532094798,46
1532094801,47
1532094804,48
1532094807,48
1532094810,48
1532094813,47
1532094816,48
1532094819,48
1532094822,47
1532094825,48
1532094828,48
1532094831,47
1532094834,47
1532094837,47
1532094840,46
1532094843,48
1532094846,49
1532094849,48
1532094852,48
1532094855,49
1532094858,49
1532094861,47
1532094864,49
1532094867,49
1532094870,49
1532094873,49
1532094876,47
1532094879,47
1532094882,47
1532094885,47
1532094888,47
1532094891,47
1532094894,46
1532094897,48
1532094900,48
1532094903,48
1532094906,47
1532094909,48
1532094912,48
1532094915,48
1532094918,48
1532094921,48
1532094924,47
1532094927,47
1532094930,47
1532094933,46
1532094936,46
1532094939,46
1532094942,46
1532094945,47
1532094948,47
1532094951,47
1532094954,46
1532094957,46
1532094960,46
1532094963,46
1532094966,47
1532094969,47
1532094972,46
1532094975,46
1532094978,46
1532094981,46
1532094984,47
1532094987,47
1532094990,47
1532094993,46
1532094996,46
1532094999,46
1532095002,46
1532095005,48
1532095008,48
1532095011,47
1532095014,47
1532095017,47
1532095020,46
1532095023,46
1532095026,47
1532095029,47
1532095032,46
1532095035,46
1532095038,46
1532095041,46
1532095044,47
1532095047,47
1532095050,47
1532095053,46
1532095056,46
1532095059,46
1532095062,46
1532095065,47
1532095068,47
1532095071,47
1532095074,46
1532095077,46
1532095080,46
1532095083,46
1532095086,47
1532095089,47
1532095092,46
1532095095,46
1532095098,46
1532095101,46
1532095104,47
1532095107,47
1532095110,47
1532095113,46
1532095116,46
1532095119,46
1532095122,46
1532095125,47
1532095128,47
1532095131,47
1532095134,46
1532095137,46
1532095140,46
1532095143,46
1532095146,49
1532095149,48
1532095152,48
1532095155,47
1532095158,47
1532095161,47
1532095164,49
1532095167,49
1532095170,48
1532095173,48
1532095176,47
1532095179,47
1532095182,46
1532095185,47
1532095188,47
1532095191,47
1532095194,46
1532095197,46
1532095200,46
1532095203,46
1532095206,49
1532095209,48
1532095212,48
1532095215,47
1532095218,47
1532095221,47
1532095224,47
1532095227,47
1532095230,47
1532095233,46
1532095236,46
1532095239,46
1532095242,46
1532095245,47
1532095248,47
1532095251,47
1532095254,46
1532095257,46
1532095260,46
1532095263,46
1532095266,47
1532095269,47
1532095272,46
1532095275,46
1532095278,46
1532095281,46
1532095284,47
1532095287,47
1532095290,47
1532095293,46
1532095296,46
1532095299,46
1532095302,46
1532095305,47
1532095308,47
1532095311,47
1532095314,46
1532095317,46
1532095320,46
1532095323,46
1532095326,47
1532095329,47
1532095332,46
1532095335,46
1532095338,46
1532095341,46
1532095344,47
1532095347,47
1532095350,47
1532095353,46
1532095356,46
1532095359,46
1532095362,46
1532095365,47
1532095368,47
1532095371,47
1532095374,46
1532095377,46
1532095380,46
1532095383,46
1532095386,47
1532095389,47
1532095392,46
1532095395,46
1532095398,46
1532095401,46
1532095404,49
1532095407,49
1532095410,48
1532095413,48
1532095416,47
1532095419,47
1532095422,46
1532095425,49
1532095428,48
1532095431,48
1532095434,47
1532095437,47
1532095440,47
1532095443,46
1532095446,47
1532095449,47
1532095452,46
1532095455,46
1532095458,46
1532095461,46
1532095464,49
1532095467,49
1532095470,48
1532095473,48
1532095476,47
1532095479,47
1532095482,46
1532095485,47
1532095488,47
1532095491,47
1532095494,46
1532095497,46
1532095500,46
1532095503,46
1532095506,47
1532095509,47
1532095512,46
1532095515,46
1532095518,46
1532095521,46
1532095524,47
1532095527,47
1532095530,47
1532095533,46
1532095536,46
1532095539,46
1532095542,46
1532095545,47
1532095548,47
1532095551,47
1532095554,46
1532095557,46
1532095560,46
1532095563,46
1532095566,47
1532095569,47
1532095572,46
1532095575,46
1532095578,46
1532095581,46
1532095584,47
1532095587,47
1532095590,47
1532095593,46
1532095596,47
1532095599,47
1532095602,47
1532095605,48
1532095608,48
1532095611,48
1532095614,48
1532095617,48
1532095620,48
1532095623,47
1532095626,49
1532095629,49
1532095632,48
1532095635,47
1532095638,47
1532095641,47
