t,value
1532093937,51
1532093940,51
1532093943,51
1532093946,51
1532093949,51
1532093952,51
1532093955,51
1532093958,50
1532093961,49
1532093964,50
1532093967,51
1532093970,51
1532093973,50
1532093976,51
1532093979,51
1532093982,51
1532093985,52
1532093988,52
1532093991,52
1532093994,52
1532093997,52
1532094000,52
1532094003,52
1532094006,51
1532094009,51
1532094012,50
1532094015,51
1532094018,51
1532094021,51
1532094024,52
1532094027,52
1532094030,50
1532094033,50
1532094036,50
1532094039,49
1532094042,49
1532094045,51
1532094048,51
1532094051,51
1532094054,51
1532094057,50
1532094060,51
1532094063,51
1532094066,51
1532094069,51
1532094072,50
1532094075,50
1532094078,50
1532094081,49
1532094084,50
1532094087,50
1532094090,51
1532094093,51
1532094096,51
1532094099,50
1532094102,51
1532094105,51
1532094108,51
1532094111,51
1532094114,54
1532094117,54
1532094120,53
1532094123,51
1532094126,52
1532094129,51
1532094132,50
1532094135,50
1532094138,49
1532094141,49
1532094144,50
1532094147,50
1532094150,50
1532094153,49
1532094156,49
1532094159,49
1532094162,49
1532094165,51
1532094168,51
1532094171,50
1532094174,50
1532094177,50
1532094180,50
1532094183,50
1532094186,50
1532094189,51
1532094192,51
1532094195,51
1532094198,50
1532094201,50
1532094204,52
1532094207,52
1532094210,52
1532094213,51
1532094216,50
1532094219,50
1532094222,50
1532094225,51
1532094228,51
1532094231,51
1532094234,51
1532094237,51
1532094240,51
1532094243,51
1532094246,50
1532094249,51
1532094252,51
1532094255,51
1532094258,51
1532094261,51
1532094264,51
1532094267,51
1532094270,51
1532094273,50
1532094276,51
1532094279,51
1532094282,51
1532094285,52
1532094288,52
1532094291,51
1532094294,53
1532094297,53
1532094300,53
1532094303,52
1532094306,52
1532094309,51
1532094312,52
1532094315,52
1532094318,51
1532094321,50
1532094324,50
1532094327,50
1532094330,50
1532094333,49
1532094336,49
1532094339,49
1532094342,50
1532094345,50
1532094348,50
1532094351,50
1532094354,50
1532094357,50
1532094360,50
1532094363,51
1532094366,51
1532094369,50
1532094372,50
1532094375,50
1532094378,51
1532094381,51
1532094384,52
1532094387,52
1532094390,52
1532094393,50
1532094396,50
1532094399,51
1532094402,51
1532094405,50
1532094408,50
1532094411,50
1532094414,49
1532094417,49
1532094420,49
1532094423,52
1532094426,53
1532094429,52
1532094432,52
1532094435,52
1532094438,52
1532094441,53
1532094444,53
1532094447,53
1532094450,51
1532094453,51
1532094456,51
1532094459,50
1532094462,49
1532094465,50
1532094468,50
1532094471,51
1532094474,51
1532094477,52
1532094480,52
1532094483,52
1532094486,55
1532094489,53
1532094492,52
1532094495,51
1532094498,53
1532094501,53
1532094504,52
1532094507,52
1532094510,52
1532094513,52
1532094516,52
1532094519,51
1532094522,50
1532094525,52
1532094528,52
1532094531,52
1532094534,51
1532094537,51
1532094540,51
1532094543,51
1532094546,51
1532094549,51
1532094552,50
1532094555,50
1532094558,49
1532094561,49
1532094564,51
1532094567,52
1532094570,52
1532094573,52
1532094576,52
1532094579,51
1532094582,51
1532094585,50
1532094588,50
1532094591,50
1532094594,49
1532094597,49
1532094600,49
1532094603,49
1532094606,50
1532094609,50
1532094612,49
1532094615,49
1532094618,49
1532094621,49
1532094624,51
1532094627,51
1532094630,50
1532094633,50
1532094636,50
1532094639,49
1532094642,49
1532094645,50
1532094648,50
1532094651,50
1532094654,49
1532094657,49
1532094660,49
1532094663,49
1532094666,50
1532094669,50
1532094672,50
1532094675,49
1532094678,49
1532094681,49
1532094684,50
1532094687,50
1532094690,50
1532094693,49
1532094696,50
1532094699,50
1532094702,50
1532094705,52
1532094708,52
1532094711,51
1532094714,51
1532094717,51
1532094720,50
1532094723,50
1532094726,51
1532094729,51
1532094732,50
1532094735,50
1532094738,50
1532094741,50
1532094744,51
1532094747,51
1532094750,51
1532094753,50
1532094756,49
1532094759,49
1532094762,49
1532094765,51
1532094768,51
1532094771,51
1532094774,51
1532094777,53
1532094780,52
1532094783,52
1532094786,51
1532094789,51
1532094792,50
1532094795,49
1532094798,49
1532094801,50
1532094804,51
1532094807,51
1532094810,51
1532094813,50
1532094816,51
1532094819,51
1532094822,50
1532094825,51
1532094828,51
1532094831,50
1532094834,50
1532094837,50
1532094840,49
1532094843,51
1532094846,52
1532094849,51
1532094852,51
1532094855,52
1532094858,52
1532094861,50
1532094864,52
