t,value
1532094399,13
1532094402,13
1532094405,13
1532094408,13
1532094411,13
1532094414,13
1532094417,13
1532094420,13
1532094423,13
1532094426,13
1532094429,13
1532094432,13
1532094435,13
1532094438,13
1532094441,13
1532094444,13
1532094447,13
1532094450,13
1532094453,13
1532094456,13
1532094459,13
1532094462,13
1532094465,13
1532094468,13
1532094471,13
1532094474,13
1532094477,13
1532094480,13
1532094483,13
1532094486,13
1532094489,13
1532094492,13
1532094495,13
1532094498,13
1532094501,13
1532094504,13
1532094507,13
1532094510,13
1532094513,13
1532094516,13
1532094519,13
1532094522,13
1532094525,13
1532094528,13
1532094531,13
1532094534,13
1532094537,13
1532094540,13
1532094543,13
1532094546,13
1532094549,13
1532094552,13
1532094555,13
1532094558,13
1532094561,13
1532094564,13
1532094567,13
1532094570,13
1532094573,13
1532094576,13
1532094579,13
1532094582,13
1532094585,13
1532094588,13
1532094591,13
1532094594,13
1532094597,13
1532094600,13
1532094603,13
1532094606,13
1532094609,13
1532094612,13
1532094615,13
1532094618,13
1532094621,13
1532094624,13
1532094627,13
1532094630,13
1532094633,13
1532094636,13
1532094639,13
1532094642,13
1532094645,13
1532094648,13
1532094651,13
1532094654,13
1532094657,13
1532094660,13
1532094663,13
1532094666,13
1532094669,13
1532094672,13
1532094675,13
1532094678,13
1532094681,13
1532094684,13
1532094687,13
1532094690,13
1532094693,13
1532094696,13
1532094699,13
1532094702,13
1532094705,13
1532094708,13
1532094711,13
1532094714,13
1532094717,13
1532094720,13
1532094723,13
1532094726,13
1532094729,13
1532094732,13
1532094735,13
1532094738,13
1532094741,13
1532094744,13
1532094747,13
1532094750,13
1532094753,13
1532094756,13
1532094759,13
1532094762,13
1532094765,14
1532094768,14
1532094771,14
1532094774,14
1532094777,14
1532094780,14
1532094783,14
1532094786,14
1532094789,14
1532094792,14
1532094795,14
1532094798,14
1532094801,14
1532094804,14
1532094807,14
1532094810,14
1532094813,14
1532094816,14
1532094819,14
1532094822,14
1532094825,14
1532094828,14
1532094831,14
1532094834,14
1532094837,14
1532094840,14
1532094843,14
1532094846,14
1532094849,14
1532094852,14
1532094855,14
1532094858,14
1532094861,14
1532094864,14
1532094867,14
1532094870,14
1532094873,14
1532094876,14
1532094879,14
1532094882,14
1532094885,14
1532094888,14
1532094891,14
1532094894,14
1532094897,14
1532094900,14
1532094903,14
1532094906,14
1532094909,14
1532094912,14
1532094915,14
1532094918,14
1532094921,14
1532094924,14
1532094927,14
1532094930,14
1532094933,14
1532094936,14
1532094939,14
1532094942,14
1532094945,14
1532094948,14
1532094951,14
1532094954,14
1532094957,14
1532094960,14
1532094963,14
1532094966,14
1532094969,14
1532094972,14
1532094975,14
1532094978,14
1532094981,14
1532094984,14
1532094987,14
1532094990,14
1532094993,14
1532094996,14
1532094999,14
1532095002,14
1532095005,14
1532095008,14
1532095011,14
1532095014,14
1532095017,14
1532095020,14
1532095023,14
1532095026,14
1532095029,14
1532095032,14
1532095035,14
1532095038,14
1532095041,14
1532095044,14
1532095047,14
1532095050,14
1532095053,14
1532095056,14
1532095059,14
1532095062,14
1532095065,14
1532095068,14
1532095071,14
1532095074,14
1532095077,14
1532095080,14
1532095083,14
1532095086,14
1532095089,14
1532095092,14
1532095095,14
1532095098,14
1532095101,14
1532095104,14
1532095107,14
1532095110,14
1532095113,14
1532095116,14
1532095119,14
1532095122,14
1532095125,14
1532095128,14
1532095131,14
1532095134,14
1532095137,14
1532095140,14
1532095143,14
1532095146,14
1532095149,14
1532095152,14
1532095155,14
1532095158,14
1532095161,14
1532095164,14
1532095167,14
1532095170,14
1532095173,14
1532095176,14
1532095179,14
1532095182,14
1532095185,14
1532095188,14
1532095191,14
1532095194,14
1532095197,14
1532095200,14
1532095203,14
1532095206,14
1532095209,14
1532095212,14
1532095215,14
1532095218,14
1532095221,15
1532095224,15
1532095227,15
1532095230,15
1532095233,15
1532095236,15
1532095239,15
1532095242,15
1532095245,15
1532095248,15
1532095251,15
1532095254,15
1532095257,15
1532095260,15
1532095263,15
1532095266,15
1532095269,15
1532095272,15
1532095275,15
1532095278,15
1532095281,15
1532095284,15
1532095287,15
1532095290,15
1532095293,15
1532095296,15
1532095299,15
1532095302,15
1532095305,15
1532095308,15
1532095311,15
1532095314,15
1532095317,15
1532095320,15
1532095323,15
1532095326,15
1532095329,15
1532095332,15
1532095335,15
1532095338,15
1532095341,15
1532095344,15
1532095347,15
1532095350,15
1532095353,15
1532095356,15
1532095359,15
1532095362,15
1532095365,15
1532095368,15
1532095371,15
1532095374,15
1532095377,15
1532095380,15
1532095383,15
1532095386,15
1532095389,15
1532095392,15
1532095395,15
1532095398,15
1532095401,15
1532095404,15
1532095407,15
1532095410,15
1532095413,15
1532095416,15
1532095419,15
1532095422,15
1532095425,15
1532095428,15
1532095431,15
1532095434,15
1532095437,15
1532095440,15
1532095443,15
1532095446,15
1532095449,15
1532095452,15
1532095455,15
1532095458,15
1532095461,15
1532095464,15
1532095467,15
1532095470,15
1532095473,15
1532095476,15
1532095479,15
1532095482,15
1532095485,15
1532095488,15
1532095491,15
1532095494,15
1532095497,15
1532095500,15
1532095503,15
1532095506,15
1532095509,15
1532095512,15
1532095515,15
1532095518,15
1532095521,15
1532095524,15
1532095527,15
1532095530,15
1532095533,15
1532095536,15
1532095539,15
1532095542,15
1532095545,15
1532095548,15
1532095551,15
1532095554,15
1532095557,15
1532095560,15
1532095563,15
1532095566,15
1532095569,15
1532095572,15
1532095575,15
1532095578,15
1532095581,15
1532095584,15
1532095587,15
1532095590,15
